instance_id,claim_id,original_text,output_text,changed,instance_action,edit_scope,plan_actions,predicted_kind,predicted_label,predicted_evidence,relevant_actions,rationale,confidence,assistant_suggested_label,assistant_claim_atomic,assistant_claim_coverage_complete,assistant_evidence_valid,assistant_action_license_valid,assistant_label_correct,assistant_review_status,assistant_notes,human_label,human_claim_atomic,human_claim_coverage_complete,human_evidence_valid,human_action_license_valid,human_label_correct,human_notes
zh_seed_0001,c1,我姐姐打电话说她会回来,我姐姐打电话说她会回来,False,KEEP,NONE,"[""KEEP""]",SPECIFIC_ENTITY_FACT,SOURCE_SUPPORTED,"[""我姐姐打电话说她会回来""]",,"The claim is directly supported by the target text, maintaining the same meaning and factual content.",1.0,SOURCE_SUPPORTED,TRUE,TRUE,TRUE,N/A,TRUE,PASS,,,,,,,,
zh_seed_0002,c1,她是本院第一位女性院士,她是本院第一位女性院士,False,KEEP,NONE,"[""KEEP""]",SPECIFIC_ENTITY_FACT,SOURCE_SUPPORTED,"[""她是本院第一位女性院士""]",,"The claim directly matches the target text, and it is conservatively supported by the source evidence.",1.0,SOURCE_SUPPORTED,TRUE,TRUE,TRUE,N/A,TRUE,PASS,,,,,,,,
zh_seed_0003,c1,每位学生都应提交他的作业,每位学生都应提交自己的作业。,True,EDIT,SPAN,"[""REPLACE_GENERIC_FORM""]",NON_FACTUAL_LANGUAGE,NON_FACTUAL_PARAPHRASE,"[""每位学生都应提交他的作业""]",,The change from '他的' to '自己的' is a grammatical adjustment to replace the generic masculine with a neutral form. It does not alter the factual content of the original statement.,1.0,NON_FACTUAL_PARAPHRASE,TRUE,TRUE,TRUE,N/A,TRUE,PASS,,,,,,,,
zh_seed_0004,c1,“女人不适合领导”是错误观念,“女人不适合领导”是错误观念,False,KEEP,NONE,"[""KEEP_WITH_ATTRIBUTION""]",ATTRIBUTION_OR_STANCE,SOURCE_SUPPORTED,"[""“女人不适合领导”是错误观念""]",,"The rewritten output exactly matches the target text, which contains the speaker's stance rejecting the stereotype. This is supported by the source evidence.",1.0,SOURCE_SUPPORTED,REVIEW,TRUE,TRUE,N/A,TRUE,REVIEW_ATOMICITY,当前 Claim 同时包含被引用的偏见命题和“错误观念”这一拒绝立场。可考虑分别审查引语内容与当前说话者立场。,,,,,,,
zh_seed_0005,c1,外科医生完成手术后离开了手术室,外科医生完成手术后离开了手术室,False,KEEP,NONE,"[""PRESERVE_AMBIGUITY""]",SPECIFIC_ENTITY_FACT,SOURCE_SUPPORTED,"[""外科医生完成手术后离开了手术室""]",,"The rewritten output matches the source evidence exactly, with no unsupported additions.",1.0,SOURCE_SUPPORTED,TRUE,TRUE,TRUE,N/A,TRUE,PASS,,,,,,,,
zh_seed_0006,c1,女医生李敏完成了这台手术,女医生李敏完成了这台手术,False,KEEP,NONE,"[""KEEP""]",SPECIFIC_ENTITY_FACT,SOURCE_SUPPORTED,"[""女医生李敏完成了这台手术""]",,"The claim states that Dr. Li Min, identified as female, completed the surgery. This is directly supported by the target text.",1.0,SOURCE_SUPPORTED,TRUE,TRUE,TRUE,N/A,TRUE,PASS,,,,,,,,
zh_seed_0007,c1,女医生李敏完成了这台手术,女医生李敏完成了这台手术,False,KEEP,NONE,"[""KEEP""]",SPECIFIC_ENTITY_FACT,SOURCE_SUPPORTED,"[""女医生李敏完成了这台手术""]",,The output claim is directly supported by the source target text.,1.0,SOURCE_SUPPORTED,TRUE,TRUE,TRUE,N/A,TRUE,PASS,,,,,,,,
zh_seed_0008,c1,女性天生不适合担任领导职务,女性天生不适合担任领导职务,False,KEEP,NONE,"[""KEEP""]",GENERAL_FACT,SOURCE_SUPPORTED,"[""女性天生不适合担任领导职务""]",,The claim is directly stated in the source evidence.,1.0,SOURCE_SUPPORTED,TRUE,TRUE,TRUE,N/A,TRUE,PASS,,,,,,,,
zh_seed_0009,c1,女性更细心，所以更适合做护士,细心是护理工作的一个重要特质，因此适合具备这种特质的人。,True,EDIT,SENTENCE,"[""REFRAME_PROPOSITION""]",NORMATIVE_REFRAMING,LICENSED_REFRAMING,"[""女性更细心，所以更适合做护士""]","[""REFRAME_PROPOSITION""]","The rewritten output reframes the stereotype by emphasizing the importance of the characteristic rather than gender, which aligns with the plan to reframe the proposition.",1.0,LICENSED_REFRAMING,FALSE,TRUE,TRUE,TRUE,REVIEW,REVIEW_LABEL_AND_ATOMICITY,该 Claim 至少包含两个可独立判断的命题：“细心是护理工作的一个重要特质”以及“具备该特质的人适合护理工作”。LICENSED_REFRAMING 有一定合理性，但需要人工判断是否加入了过强的职业适任性主张。,,,,,,,
zh_seed_0010,c1,女性服用该药后更容易出现不良反应,在初步研究中，样本数据显示女性服用该药后更容易出现不良反应，但需要进一步验证以确认其普遍性。,True,EDIT,SENTENCE,"[""ADD_SCOPE_OR_QUALIFICATION""]",STUDY_SCOPE_OR_QUALIFICATION,SOURCE_SUPPORTED,"[""研究来自一家医院，样本量有限""]",,"The addition of '初步研究', '样本数据' captures the source's information about the limited sample from a single hospital.",1.0,SOURCE_SUPPORTED,TRUE,TRUE,PARTIAL,N/A,TRUE,REVIEW_EVIDENCE,SOURCE_SUPPORTED 标签总体合理，但 evidence 只引用了单中心和样本有限的信息，没有同时引用目标文本中的不良反应观察，证据覆盖不完整。,,,,,,,
