instance_id,target_text,prediction_valid,prediction_error,row_type,span_match_type,auto_flags,gold_span,predicted_span,gold_functions,predicted_functions,gold_necessity,predicted_necessity,gold_bias_status,predicted_bias_status,gold_bias_mechanisms,predicted_bias_mechanisms,gold_span_stance,predicted_span_stance,gold_speaker_stance,predicted_speaker_stance,gold_context_sufficient,predicted_context_sufficient,error_category,review_notes
zh_seed_0001,我姐姐打电话说她会回来,True,,MATCHED_SPAN,EXACT,FUNCTION_MISMATCH|NECESSITY_MISMATCH|SPAN_STANCE_MISMATCH|SPEAKER_STANCE_MISMATCH,她,她,"[""COREFERENCE"", ""TOPIC_CONTINUITY""]","[""COREFERENCE""]",RELEVANT,ESSENTIAL,NONE,NONE,[],[],NEUTRAL_REPORT,NOT_APPLICABLE,NEUTRAL_REPORT,NOT_APPLICABLE,True,True,,
zh_seed_0001,我姐姐打电话说她会回来,True,,MATCHED_SPAN,EXACT,SPAN_STANCE_MISMATCH|SPEAKER_STANCE_MISMATCH,姐姐,姐姐,"[""KINSHIP_RELATION"", ""IDENTIFICATION""]","[""IDENTIFICATION"", ""KINSHIP_RELATION""]",ESSENTIAL,ESSENTIAL,NONE,NONE,[],[],NEUTRAL_REPORT,NOT_APPLICABLE,NEUTRAL_REPORT,NOT_APPLICABLE,True,True,,
zh_seed_0002,她是本院第一位女性院士,True,,MATCHED_SPAN,EXACT,FUNCTION_MISMATCH|SPAN_STANCE_MISMATCH|SPEAKER_STANCE_MISMATCH,第一位女性院士,第一位女性院士,"[""HISTORICAL_SIGNIFICANCE"", ""REPRESENTATIONAL_VISIBILITY"", ""UNDERREPRESENTED_IDENTITY""]","[""HISTORICAL_SIGNIFICANCE"", ""REPRESENTATIONAL_VISIBILITY"", ""AFFIRMATIVE_RECOGNITION""]",ESSENTIAL,ESSENTIAL,NONE,NONE,[],[],NEUTRAL_REPORT,NOT_APPLICABLE,NEUTRAL_REPORT,NOT_APPLICABLE,True,True,,
zh_seed_0002,她是本院第一位女性院士,True,,MATCHED_SPAN,EXACT,FUNCTION_MISMATCH|NECESSITY_MISMATCH|SPAN_STANCE_MISMATCH|SPEAKER_STANCE_MISMATCH,她,她,"[""COREFERENCE"", ""TOPIC_CONTINUITY""]","[""COREFERENCE""]",RELEVANT,ESSENTIAL,NONE,NONE,[],[],NEUTRAL_REPORT,NOT_APPLICABLE,NEUTRAL_REPORT,NOT_APPLICABLE,True,True,,
zh_seed_0003,每位学生都应提交他的作业,True,,MATCHED_SPAN,OVERLAP,SPAN_BOUNDARY_MISMATCH|FUNCTION_MISMATCH|NECESSITY_MISMATCH|SPEAKER_STANCE_MISMATCH,他,他的,"[""GENERIC_REFERENCE""]","[""COREFERENCE"", ""GENERIC_REFERENCE""]",INCIDENTAL,HARMFUL_OR_MISLEADING,IMPLICIT,IMPLICIT,"[""GENERIC_MALE_DEFAULT""]","[""GENERIC_MALE_DEFAULT""]",NOT_APPLICABLE,NOT_APPLICABLE,NEUTRAL_REPORT,NOT_APPLICABLE,True,True,,
zh_seed_0004,“女人不适合领导”是错误观念,True,,MATCHED_SPAN,OVERLAP,SPAN_BOUNDARY_MISMATCH|FUNCTION_MISMATCH|NECESSITY_MISMATCH|BIAS_MECHANISM_MISMATCH,女人不适合领导,不适合领导,"[""DIRECT_QUOTATION"", ""BIAS_CRITIQUE"", ""GROUP_GENERALIZATION""]","[""BIAS_CRITIQUE""]",ESSENTIAL,RELEVANT,EXPLICIT,EXPLICIT,"[""ESSENTIALIST_GENERALIZATION"", ""COMPETENCE_OR_AGENCY_DENIAL""]","[""COMPETENCE_OR_AGENCY_DENIAL""]",REJECT,REJECT,REJECT,REJECT,True,True,,
zh_seed_0004,“女人不适合领导”是错误观念,True,,PREDICTED_ONLY,UNMATCHED,UNMATCHED_PREDICTED_SPAN,,女人,,"[""GENERIC_REFERENCE""]",,RELEVANT,,EXPLICIT,,"[""STEREOTYPE_ASSOCIATION""]",,REJECT,REJECT,REJECT,True,True,,
zh_seed_0005,外科医生完成手术后离开了手术室,True,,MATCHED_SPAN,EXACT,NECESSITY_MISMATCH|SPAN_STANCE_MISMATCH|SPEAKER_STANCE_MISMATCH,外科医生,外科医生,"[""IDENTIFICATION""]","[""IDENTIFICATION""]",NOT_APPLICABLE,ESSENTIAL,NONE,NONE,[],[],NEUTRAL_REPORT,NOT_APPLICABLE,NEUTRAL_REPORT,NOT_APPLICABLE,True,True,,
zh_seed_0006,女医生李敏完成了这台手术,False,"LLM returned an invalid AnalysisResult for 'zh_seed_0006': 1 validation error for AnalysisResult
confidence
  Extra inputs are not permitted [type=extra_forbidden, input_value=1.0, input_type=float]
    For further information visit https://errors.pydantic.dev/2.13/v/extra_forbidden",INVALID_INSTANCE,,SCHEMA_OR_GENERATION_FAILURE,,,,,,,,,,,,,NEUTRAL_REPORT,,True,,,
zh_seed_0007,女医生李敏完成了这台手术,True,,MATCHED_SPAN,EXACT,MATCH,女医生,女医生,"[""IDENTIFICATION"", ""REPRESENTATIONAL_VISIBILITY""]","[""IDENTIFICATION"", ""REPRESENTATIONAL_VISIBILITY""]",RELEVANT,RELEVANT,NONE,NONE,[],[],NEUTRAL_REPORT,NEUTRAL_REPORT,NEUTRAL_REPORT,NEUTRAL_REPORT,True,True,,
zh_seed_0008,女性天生不适合担任领导职务,True,,MATCHED_SPAN,OVERLAP,SPAN_BOUNDARY_MISMATCH|FUNCTION_MISMATCH|NECESSITY_MISMATCH|BIAS_MECHANISM_MISMATCH,女性天生不适合担任领导职务,天生不适合担任领导职务,"[""GROUP_GENERALIZATION""]","[""CATEGORY_CONSTRUCTION""]",INCIDENTAL,HARMFUL_OR_MISLEADING,EXPLICIT,EXPLICIT,"[""ESSENTIALIST_GENERALIZATION"", ""COMPETENCE_OR_AGENCY_DENIAL""]","[""STEREOTYPE_ASSOCIATION"", ""COMPETENCE_OR_AGENCY_DENIAL""]",ENDORSE,ENDORSE,ENDORSE,ENDORSE,True,True,,
zh_seed_0008,女性天生不适合担任领导职务,True,,PREDICTED_ONLY,UNMATCHED,UNMATCHED_PREDICTED_SPAN,,女性,,"[""IDENTIFICATION""]",,HARMFUL_OR_MISLEADING,,EXPLICIT,,"[""STEREOTYPE_ASSOCIATION"", ""ESSENTIALIST_GENERALIZATION""]",,ENDORSE,ENDORSE,ENDORSE,True,True,,
